age,education,gender,univ,prog_year,agreeableness,conscientiousness,performance
60,3,2,NA,2,5.5,5.0,2.8
68,5,2,NA,2,5.6,4.6,5.4
59,4,2,NA,2,5.4,3.6,4.6
70,4,2,NA,2,5.6,4.4,5.2
46,5,2,NA,2,5.6,4.2,4.0
41,2,2,NA,2,4.2,3.8,3.4
75,4,1,NA,1,3.8,5.0,3.4
57,5,2,NA,2,5.4,4.0,4.8
58,5,2,NA,2,5.4,5.0,4.8
39,3,1,NA,1,4.2,4.2,4.4
37,NA,2,NA,2,4.6,3.8,3.0
40,3,2,NA,2,3.8,5.4,4.8
54,5,2,NA,2,4.0,4.6,2.6
58,3,2,NA,2,5.4,5.6,5.4
38,3,2,NA,2,4.4,3.0,4.4
52,5,2,NA,2,5.25,4.0,4.0
39,3,1,NA,1,5.8,2.8,4.4
39,3,1,NA,1,4.2,4.6,2.8
41,3,1,NA,1,5.2,5.4,5.0
42,3,2,NA,2,5.5,5.6,5.4
39,3,1,NA,1,4.4,4.2,2.6
61,5,2,NA,2,4.6,4.4,4.8
60,3,1,NA,1,5.6,5.0,4.6
64,5,2,NA,2,3.4,5.0,4.4
45,3,1,NA,1,4.8,3.2,4.0
35,NA,2,NA,2,1.6,1.6,3.0
44,3,1,NA,1,3.6,4.2,4.0
43,3,2,NA,2,2.8,4.2,4.4
42,1,2,NA,2,4.6,3.2,5.0
39,3,2,NA,2,5.2,4.4,4.0
43,3,2,NA,2,4.6,5.2,3.2
58,3,2,NA,2,2.6,5.6,5.8
46,2,1,NA,1,5.2,6.0,5.0
66,3,2,NA,2,4.8,4.8,5.0
44,2,2,NA,2,4.0,4.4,3.6
38,1,2,NA,2,4.8,5.2,5.2
68,2,1,NA,1,5.6,3.4,3.4
50,3,2,NA,2,5.8,4.4,4.8
42,2,1,NA,1,4.4,3.4,4.0
40,3,1,NA,1,3.6,3.0,3.6
56,5,1,NA,1,3.4,5.2,3.8
38,1,1,NA,1,5.0,4.6,6.0
47,3,1,NA,1,5.4,5.6,4.8
50,2,2,NA,2,4.0,4.0,5.8
38,3,1,NA,1,4.6,5.4,4.6
40,3,1,NA,1,4.8,4.2,3.6
75,3,2,NA,2,5.2,5.2,4.6
37,3,2,NA,2,5.6,4.6,4.0
48,4,1,NA,1,3.8,3.6,3.8
39,3,2,NA,2,4.6,3.4,4.8
39,3,2,NA,2,4.8,4.4,5.6
36,NA,2,NA,2,6.0,5.4,6.0
51,1,1,NA,1,5.8,5.0,5.2
70,3,2,NA,2,4.4,4.2,5.8
51,3,2,NA,2,5.4,5.0,4.8
47,5,2,NA,2,5.6,5.4,5.4
36,3,1,NA,1,4.2,4.0,2.6
38,3,1,NA,1,5.2,4.0,5.2
40,3,2,NA,2,5.0,3.4,3.8
41,3,1,NA,1,4.2,3.2,3.0
52,5,2,NA,2,5.8,5.2,5.4
50,3,2,NA,2,3.2,2.6,3.0
44,3,2,NA,2,4.8,4.0,4.2
55,1,2,NA,2,4.8,3.6,3.6
39,3,2,NA,2,5.4,5.0,5.2
43,3,2,NA,2,5.0,4.8,3.2
36,NA,2,NA,2,3.8,4.4,3.6
41,4,1,NA,1,6.0,4.2,6.0
42,3,2,NA,2,5.8,5.0,4.2
40,3,2,NA,2,5.4,3.0,3.6
46,4,1,NA,1,5.0,5.2,4.8
39,3,1,NA,1,4.6,3.8,3.0
45,5,2,NA,2,5.0,3.8,5.6
48,5,2,NA,2,5.4,3.2,5.6
37,NA,2,NA,2,5.2,3.8,5.4
36,NA,2,NA,2,4.8,4.0,5.2
37,NA,1,NA,1,3.8,2.2,3.8
49,1,1,NA,1,5.0,5.0,2.8
39,2,2,NA,2,3.8,3.8,3.4
67,4,2,NA,2,5.4,4.2,4.6
72,4,2,NA,2,5.0,4.4,3.4
42,4,2,NA,2,5.4,3.4,2.4
38,3,1,NA,1,4.8,3.8,4.8
50,3,2,NA,2,4.2,5.2,4.8
37,NA,2,NA,2,4.4,4.4,3.8
51,3,1,NA,1,2.4,4.2,2.8
76,2,1,NA,1,5.6,5.6,3.8
48,4,2,NA,2,4.0,5.6,5.2
53,4,2,NA,2,5.6,4.6,5.8
50,3,2,NA,2,5.4,4.2,4.0
43,3,2,NA,2,5.2,5.4,3.8
40,3,2,NA,2,5.2,4.6,4.6
47,2,2,NA,2,6.0,5.2,5.8
45,2,1,NA,1,4.2,4.0,5.4
47,2,2,NA,2,4.2,5.2,3.8
76,NA,2,NA,2,5.0,2.0,4.6
38,3,2,NA,2,3.4,4.4,3.2
38,1,1,NA,1,3.4,3.6,4.6
41,3,1,NA,1,5.8,5.0,4.8
39,2,1,NA,1,3.4,5.8,3.8
38,2,2,NA,2,5.8,4.6,5.6
49,4,1,NA,1,2.6,4.6,2.8
53,4,1,NA,1,3.8,3.8,3.4
51,3,1,NA,1,4.0,3.4,2.8
53,5,2,NA,2,5.6,4.6,5.0
48,5,2,NA,2,4.25,5.4,2.8
41,3,2,NA,2,4.6,3.6,2.0
65,4,2,NA,2,5.2,3.2,6.0
64,5,2,NA,2,4.0,4.0,3.4
38,3,2,NA,2,5.6,3.6,3.6
47,5,2,NA,2,5.4,5.2,4.8
65,4,2,NA,2,3.0,4.4,3.6
38,2,2,NA,2,5.6,5.4,5.0
44,3,2,NA,2,5.6,4.6,2.2
68,2,2,NA,2,3.8,3.2,3.4
49,3,2,NA,2,4.8,4.8,5.6
71,1,2,NA,2,6.0,6.0,5.2
70,2,2,NA,2,5.0,3.6,2.8
56,2,2,NA,2,4.0,4.2,3.0
38,NA,2,NA,2,4.0,3.0,3.4
72,4,2,NA,2,5.2,2.4,5.0
58,5,2,NA,2,4.4,3.2,2.8
37,3,2,NA,2,5.6,4.6,5.8
73,5,2,NA,2,4.8,3.8,5.6
55,5,2,NA,2,5.2,4.4,4.8
41,3,2,NA,2,5.0,2.8,2.8
49,3,1,NA,1,4.6,4.4,3.8
56,5,2,NA,2,5.2,5.4,5.2
39,3,2,NA,2,4.2,4.4,4.0
43,3,2,NA,2,4.6,5.0,4.0
59,2,2,NA,2,5.2,5.4,4.6
39,3,2,NA,2,3.6,3.2,4.4
37,NA,2,NA,2,4.8,4.4,3.8
38,3,2,NA,2,4.6,3.6,5.4
45,3,2,NA,2,5.4,4.6,3.75
35,NA,2,NA,2,4.0,3.0,3.6
40,3,1,NA,1,5.0,3.8,2.2
34,NA,2,NA,2,5.4,3.4,3.2
40,3,2,NA,2,4.8,5.2,5.2
45,1,1,NA,1,5.2,5.2,4.6
84,5,2,NA,2,4.8,2.0,5.6
38,2,2,NA,2,5.0,4.6,4.8
40,3,2,NA,2,5.4,3.2,4.2
39,1,2,NA,2,4.2,2.8,3.4
52,5,2,NA,2,5.2,5.6,4.2
69,2,1,NA,1,4.0,3.4,4.0
65,2,1,NA,1,5.2,4.0,6.0
38,1,1,NA,1,4.2,2.4,1.6
48,5,2,NA,2,5.0,3.0,5.6
42,5,2,NA,2,4.0,4.4,2.6
45,4,2,NA,2,4.0,4.4,3.6
54,5,2,NA,2,6.0,5.4,6.0
62,5,2,NA,2,4.6,4.8,3.4
57,3,2,NA,2,4.6,4.2,4.6
62,3,2,NA,2,5.8,6.0,5.4
43,5,2,NA,2,5.2,5.2,4.0
49,4,2,NA,2,3.6,4.0,5.2
38,2,1,NA,1,3.0,4.6,1.6
42,3,2,NA,2,5.4,5.0,5.2
50,3,2,NA,2,5.2,5.25,5.6
58,3,2,NA,2,4.0,4.6,4.2
73,2,2,NA,2,5.0,5.0,4.8
48,3,1,NA,1,4.75,4.0,3.0
38,3,1,NA,1,5.0,4.2,4.4
51,4,2,NA,2,5.8,5.6,4.8
52,1,2,NA,2,5.0,5.0,3.8
60,5,2,NA,2,4.0,4.0,4.25
35,NA,2,NA,2,5.6,3.0,4.2
43,2,2,NA,2,4.0,5.0,4.4
54,4,2,NA,2,4.6,3.0,4.0
49,5,1,NA,1,5.8,4.6,4.8
71,3,2,NA,2,5.0,4.6,3.2
42,3,2,NA,2,6.0,4.2,5.4
58,3,2,NA,2,5.0,4.4,4.4
46,5,2,NA,2,4.2,3.2,5.8
56,2,2,NA,2,3.5,4.0,4.2
39,3,2,NA,2,4.4,5.2,4.0
53,3,2,NA,2,5.0,4.2,4.4
60,1,2,NA,2,5.4,3.8,5.0
46,5,2,NA,2,4.2,3.2,3.6
32,NA,2,NA,2,5.0,2.6,3.8
50,3,2,NA,2,4.4,5.6,5.0
79,1,2,NA,2,5.4,3.8,4.2
52,3,2,NA,2,4.4,5.2,4.4
50,2,1,NA,1,3.2,3.0,3.0
52,4,2,NA,2,5.4,5.6,5.2
49,5,2,NA,2,5.2,4.4,4.8
47,3,1,NA,1,4.2,5.4,3.8
68,3,2,NA,2,3.6,4.8,1.8
59,4,2,NA,2,5.6,4.0,4.6
42,3,2,NA,2,5.2,3.8,4.0
46,3,2,NA,2,4.6,2.8,3.6
46,3,2,NA,2,3.0,5.6,2.0
59,2,2,NA,2,4.6,3.8,4.6
52,3,2,NA,2,5.2,3.2,4.6
72,3,2,NA,2,5.8,4.2,2.4
60,3,2,NA,2,5.0,4.6,4.2
60,2,2,NA,2,5.4,5.2,5.6
60,3,2,NA,2,6.0,4.8,3.6
60,3,2,NA,2,5.6,4.4,4.4
44,2,2,NA,2,5.2,5.6,5.6
43,3,2,NA,2,5.8,5.4,3.2
46,3,2,NA,2,4.5,5.5,4.4
46,3,2,NA,2,4.5,5.6,4.4
71,2,2,NA,2,5.8,5.8,5.8
59,1,2,NA,2,6.0,5.0,5.4
40,3,2,NA,2,6.0,4.8,5.8
39,1,2,NA,2,5.4,4.0,5.2
48,5,1,NA,1,3.6,2.6,3.0
55,1,1,NA,1,4.4,5.2,4.2
55,1,1,NA,1,4.4,5.2,4.2
55,1,1,NA,1,4.4,5.2,4.2
55,1,1,NA,1,4.4,5.2,4.2
55,1,1,NA,1,5.0,4.6,4.0
55,1,1,NA,1,5.0,4.6,4.4
55,1,1,NA,1,5.0,4.6,4.4
52,4,2,NA,2,4.6,2.2,4.4
44,3,2,NA,2,4.6,6.0,4.6
43,1,2,NA,2,5.6,4.6,4.8
59,3,1,NA,1,4.2,5.4,4.0
68,4,1,NA,1,5.2,5.0,2.6
46,1,2,NA,2,4.6,3.2,3.2
48,3,1,NA,1,4.2,4.0,3.8
43,1,2,NA,2,5.8,4.4,4.8
44,3,1,NA,1,5.2,4.6,3.6
49,3,2,NA,2,5.4,4.0,4.6
39,NA,2,NA,2,2.2,2.6,4.2
49,3,1,NA,1,1.6,6.0,1.2
46,3,2,NA,2,5.8,6.0,5.2
35,NA,2,NA,2,3.2,3.0,1.8
57,3,2,NA,2,4.4,4.4,5.0
50,3,1,NA,1,5.4,5.2,5.6
56,3,2,NA,2,4.8,4.4,5.0
53,3,2,NA,2,5.6,5.4,5.6
43,3,1,NA,1,5.0,4.8,4.0
42,2,2,NA,2,6.0,5.0,6.0
37,3,2,NA,2,5.0,4.8,5.0
48,2,1,NA,1,2.6,2.6,1.4
56,3,2,NA,2,3.4,5.0,4.4
49,3,2,NA,2,4.8,3.6,4.2
79,5,2,NA,2,5.0,2.0,3.0
39,3,2,NA,2,5.6,5.2,4.8
47,3,1,NA,1,5.4,4.2,5.2
61,4,2,NA,2,4.4,4.4,4.0
47,4,2,NA,2,5.4,4.4,4.8
44,2,2,NA,2,5.25,5.2,6.0
80,5,2,NA,2,4.8,3.8,5.2
72,3,2,NA,2,5.6,4.4,1.8
41,3,2,NA,2,5.8,5.6,5.75
40,3,2,NA,2,5.0,4.4,4.0
45,3,2,NA,2,5.8,5.0,4.8
44,3,2,NA,2,5.8,5.6,4.0
45,2,2,NA,2,3.2,3.6,3.6
50,2,2,NA,2,3.8,3.6,3.4
39,3,2,NA,2,2.0,2.8,2.6
37,3,1,NA,1,4.6,3.0,4.8
72,3,2,NA,2,5.8,6.0,3.6
47,3,2,NA,2,5.0,3.2,5.2
75,3,2,NA,2,6.0,5.2,6.0
59,5,2,NA,2,5.2,4.4,5.6
59,3,2,NA,2,6.0,5.4,5.4
59,3,2,NA,2,4.0,4.6,2.0
38,3,1,NA,1,4.2,3.25,4.0
71,3,2,NA,2,5.0,5.0,5.6
45,3,2,NA,2,5.8,4.8,3.0
35,1,2,NA,2,5.2,4.8,4.6
62,2,2,NA,2,4.8,3.8,4.0
44,4,2,NA,2,5.2,5.4,4.8
66,3,2,NA,2,5.4,5.0,3.2
57,3,2,NA,2,5.4,4.0,5.0
44,3,2,NA,2,4.8,5.0,3.6
40,3,1,NA,1,4.8,3.5,3.8
70,4,2,NA,2,4.6,5.8,5.6
66,3,2,NA,2,4.8,4.4,3.2
43,2,1,NA,1,4.2,4.8,5.2
38,3,2,NA,2,4.6,5.6,4.8
41,2,1,NA,1,4.4,5.0,4.6
46,3,2,NA,2,4.2,3.4,5.2
73,3,2,NA,2,5.6,5.4,4.4
46,2,2,NA,2,5.6,4.8,5.2
50,3,1,NA,1,6.0,5.6,5.0
71,2,1,NA,1,4.4,3.8,5.2
54,3,2,NA,2,5.0,4.6,4.2
48,3,2,NA,2,4.2,5.0,4.6
62,2,2,NA,2,5.0,5.0,4.8
41,3,1,NA,1,5.6,5.4,4.4
40,3,2,NA,2,6.0,3.6,5.2
46,1,1,NA,1,5.2,4.8,4.4
38,3,2,NA,2,5.6,4.8,4.4
59,3,2,NA,2,5.0,4.4,4.6
65,3,2,NA,2,4.0,5.8,5.4
40,3,2,NA,2,4.8,5.2,5.8
63,3,1,NA,1,4.4,4.8,4.8
43,3,2,NA,2,4.6,4.8,2.6
45,3,2,NA,2,5.0,4.4,4.6
71,3,2,NA,2,5.4,5.6,4.2
46,3,2,NA,2,5.0,4.8,3.8
48,3,1,NA,1,6.0,5.8,5.8
43,3,2,NA,2,5.0,5.8,5.4
54,3,2,NA,2,5.2,3.6,4.2
43,3,1,NA,1,4.8,4.4,4.0
49,3,2,NA,2,5.0,4.2,4.25
55,3,2,NA,2,5.6,5.4,5.6
60,3,2,NA,2,4.4,4.4,3.5
47,2,2,NA,2,5.0,5.8,6.0
65,4,1,NA,1,4.8,4.0,4.6
80,2,1,NA,1,5.6,5.2,5.8
47,3,2,NA,2,5.0,4.6,3.4
40,3,1,NA,1,4.2,2.0,4.2
41,3,2,NA,2,5.2,4.4,3.6
45,3,2,NA,2,4.4,3.8,5.0
71,2,2,NA,2,5.4,5.0,4.2
47,3,2,NA,2,5.2,3.8,4.2
44,3,1,NA,1,4.2,4.2,1.6
41,1,2,NA,2,5.6,4.4,5.2
75,2,2,NA,2,4.0,4.2,2.4
50,2,1,NA,1,3.2,2.8,4.0
51,3,1,NA,1,3.2,3.4,3.5
42,2,2,NA,2,4.8,4.0,4.4
48,3,2,NA,2,4.6,5.0,3.6
44,3,2,NA,2,3.8,4.8,4.6
51,3,2,NA,2,5.8,3.4,3.8
63,3,2,NA,2,5.4,4.8,4.4
80,3,1,NA,1,4.8,4.6,4.4
56,3,1,NA,1,4.4,3.6,2.6
60,4,2,NA,2,4.0,5.0,4.2
41,3,1,NA,1,4.4,3.0,5.6
41,4,2,NA,2,5.2,5.6,5.4
39,1,2,NA,2,4.4,5.0,4.4
56,3,2,NA,2,5.0,4.6,3.4
62,4,1,NA,1,3.2,3.4,2.8
44,2,1,NA,1,4.4,1.8,5.0
64,3,2,NA,2,6.0,5.6,5.6
50,3,2,NA,2,5.4,4.4,4.0
43,3,2,NA,2,5.4,3.8,5.4
46,2,2,NA,2,3.8,2.8,4.6
52,3,1,NA,1,5.8,5.5,5.6
49,3,1,NA,1,4.8,4.0,3.8
67,3,2,NA,2,5.8,5.8,5.0
64,3,1,NA,1,4.8,5.2,4.2
45,3,1,NA,1,4.4,3.8,3.8
48,3,2,NA,2,5.2,5.0,5.0
52,4,2,NA,2,5.8,5.2,5.2
57,3,2,NA,2,4.2,3.2,3.4
59,3,2,NA,2,6.0,5.2,5.4
60,2,1,NA,1,5.6,3.6,5.0
46,4,2,NA,2,5.6,5.8,5.4
47,3,1,NA,1,4.0,3.6,4.0
61,3,2,NA,2,4.2,2.8,3.8
54,3,2,NA,2,5.2,2.6,2.6
43,3,2,NA,2,6.0,3.4,6.0
51,3,1,NA,1,5.0,4.6,5.6
58,3,2,NA,2,5.0,5.6,3.0
64,3,2,NA,2,5.4,4.0,3.8
51,3,2,NA,2,4.4,4.0,5.8
53,5,1,NA,1,5.6,4.4,4.6
48,3,2,NA,2,3.0,3.5,2.4
66,3,1,NA,1,5.4,6.0,5.6
56,3,2,NA,2,5.0,4.8,4.4
48,3,2,NA,2,5.0,4.0,3.6
48,3,2,NA,2,5.6,3.2,3.8
62,3,2,NA,2,5.4,5.6,5.2
52,3,2,NA,2,5.2,4.2,4.8
39,3,2,NA,2,3.2,3.0,3.0
45,3,2,NA,2,5.0,4.0,4.8
57,5,2,NA,2,4.8,4.4,4.2
49,3,2,NA,2,5.6,5.0,5.4
52,3,2,NA,2,3.2,4.0,4.4
47,3,1,NA,1,5.4,4.6,5.6
47,3,2,NA,2,4.8,4.8,3.6
59,3,1,NA,1,5.0,3.5,4.4
65,NA,1,NA,1,5.0,4.2,4.8
58,3,2,NA,2,4.4,5.2,5.0
42,1,2,NA,2,5.4,4.6,4.8
43,1,2,NA,2,5.4,5.0,4.4
45,3,2,NA,2,4.2,4.2,3.8
55,3,2,NA,2,6.0,5.8,5.8
53,3,2,NA,2,5.4,5.2,4.4
48,2,2,NA,2,5.0,4.8,5.8
63,3,2,NA,2,6.0,5.0,3.8
50,1,1,NA,1,5.4,5.0,5.2
47,3,2,NA,2,4.4,3.4,3.6
